fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 215247	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.345946127155893	0.583440951119577	868	1154	12827	55121698.6506747	1
20240507 215423	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.282689891412912	0.64319200051458	1188	1940	13078	57162101.9490255	2
20240507 215636	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	291	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.129686069412786	0.709779659509465	1481	1456	13991	59444571.2143928	3
20240507 215905	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.147602192905471	0.854242249836071	1360	1282	11003	58465242.8785607	4
20240507 220043	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.227328322608499	0.797759180518079	276	989	13433	58760790.1049475	5
20240507 220306	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.436400152061683	0.659641702846967	413	1380	12112	52007088.4557721	6
20240507 221157	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	944	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0114831836449744	0.535543018542917	593	374	11772	62506788.6056972	7
20240507 221805	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.374529645425714	0.687950902704333	902	592	11531	51274406.2968516	8
20240507 222029	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.377868899305434	0.551889122956884	1899	188	11111	51296085.4572714	9
20240507 222153	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.303672263236095	0.751068867259269	1723	1766	13675	53375779.6101949	10
20240507 222424	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	202	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.066590248149912	0.741936342947362	1951	774	11570	61781574.2128936	11
20240507 222527	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	492	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.441589530310011	0.801715006523701	13	306	13910	48585382.3088456	12
20240507 222651	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.223746253899554	0.616316903014415	214	1668	10813	61072364.3178411	13
20240507 222927	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0870784446833868	0.87658911620512	669	559	11471	60759533.7331334	14
20240507 223032	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.487274124690569	0.834938937831274	1096	1532	10841	43954601.1994003	15
20240507 223240	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.19059882590435	0.521109540997023	1663	895	13351	59178124.4377811	16
20240507 223350	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0100806794310982	0.620011416896929	9	996	13064	50967640.17991	17
20240507 223548	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.171898487356688	0.501042496390426	633	1532	11385	59906949.0254873	18
20240507 224300	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0293320411386873	0.541380904344163	908	243	11629	61870781.1094453	19
20240507 224950	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	763	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0264269764578291	0.567392097729164	1664	488	11604	61898104.9475262	20
20240507 225318	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	160	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0568070095217641	0.51791974243967	654	100	13302	57693400.2998501	21
20240507 230655	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2791	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.010011301256599	0.740397338792629	933	792	10950	62156296.8515742	22
20240507 232157	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1133	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0100169904003162	0.814435327999195	2028	222	11559	61382790.1049475	23
20240507 233015	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	751	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0210702167652389	0.731527463313148	1893	330	11538	63020902.5487256	24
20240507 235253	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2122	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0101374919650865	0.736066742408871	1743	341	12756	62241745.1274363	25
20240508 000428	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1305	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.012508121345961	0.742449831249499	1575	363	11779	62468817.0914543	26
20240508 001724	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1629	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0100327750793888	0.743028767024149	1483	393	11217	62932388.3058471	27
