fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 021713	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.345946127155893	0.583440951119577	868	1154	18199	47658052.4737631	1
20240507 021824	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.282689891412912	0.64319200051458	1188	1940	16132	49152425.7871064	2
20240507 021944	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.129686069412786	0.709779659509465	1481	1456	19133	44511224.8875562	3
20240507 022107	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.147602192905471	0.854242249836071	1360	1282	20084	45757355.3223388	4
20240507 022235	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.227328322608499	0.797759180518079	276	989	10164	53830818.5907046	5
20240507 022354	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.436400152061683	0.659641702846967	413	1380	14729	41420496.2518741	6
20240507 022759	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.0114831836449744	0.535543018542917	593	374	16824	48949949.0254873	7
20240507 022942	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.374529645425714	0.687950902704333	902	592	12127	53115971.5142429	8
20240507 023201	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.377868899305434	0.551889122956884	1899	188	10400	50110044.9775112	9
20240507 023314	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.303672263236095	0.751068867259269	1723	1766	19850	41259715.1424288	10
20240507 023500	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.066590248149912	0.741936342947362	1951	774	20159	43576313.3433283	11
20240507 023533	1067	301889	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	TRUE	1	0.1	50	0.5	FALSE	100007	0.441589530310011	0.801715006523701	13	306	12590	35824602.6986507	12
