fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 150435	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	500	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.349090083744549	0.583440951119577	868	1154	9850	59705712.143928	1
20240512 151550	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	765	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.287124791588159	0.64319200051458	1188	1940	10563	58285932.5337331	2
20240512 153422	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1812	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.137243496567627	0.709779659509465	1481	1456	10347	60176691.1544228	3
20240512 154928	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	754	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.154793984886992	0.854242249836071	1360	1282	10845	61225899.5502249	4
20240512 160202	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	829	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.23289305071853	0.797759180518079	276	989	12390	58955097.4512744	5
20240512 160728	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.437698108142057	0.659641702846967	413	1380	10748	57499508.2458771	6
20240512 162518	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1792	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0214529145909953	0.535543018542917	593	374	11440	62485397.3013493	7
20240512 164133	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	700	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.377090264906822	0.687950902704333	902	592	11165	57792316.3418291	8
20240512 165428	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2373	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.38036137074818	0.551889122956884	1899	188	10175	59295089.9550225	9
20240512 170519	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1013	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.307678951741481	0.751068867259269	1723	1766	11560	57187766.1169415	10
20240512 172233	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1130	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0754353451264444	0.741936342947362	1951	774	12411	60409758.6206897	11
20240512 172420	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.442781580711847	0.801715006523701	13	306	11809	48141035.982009	12
20240512 173630	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1156	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.229384085452624	0.616316903014415	214	1668	11002	58329352.3238381	13
20240512 174814	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	634	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0955054152000524	0.87658911620512	669	559	11438	60669268.3658171	14
20240512 175453	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.487533836431577	0.834938937831274	1096	1532	13009	57411200.8995502	15
20240512 175851	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.196913135579771	0.521109540997023	1663	895	12981	58508634.1829085	16
20240512 180925	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	886	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0207016163816093	0.516572403812049	581	1164	11057	62224502.2488756	17
20240512 182055	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	778	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200036530785855	0.500225713392073	914	692	12286	61802329.8350825	18
20240512 182830	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	687	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.137488084353654	0.500048678119034	600	883	11572	62032545.7271364	19
20240512 185444	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1085	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200640626087674	0.879413857160184	1411	169	13025	61662271.3643178	20
20240512 190317	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	512	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201715138669944	0.579526781203892	449	771	10651	61191467.7661169	21
20240512 191239	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	612	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201517221327224	0.505061671482655	692	734	9268	60813811.0944528	22
20240512 193054	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1092	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202108181260121	0.853409888286655	1114	1162	11390	60784182.9085457	23
20240512 193647	530	757115	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.114489770103193	0.646522436327238	576	1375	10347	61635821.5892054	24
