fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 133119	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0302840651170171	0.512580713339683	508	147	13680	61446656.6716642	1
20240513 134139	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	687	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.02834764973713	0.557394000385935	642	197	10466	61269826.0869565	2
20240513 135513	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0236638592677384	0.607334744632099	764	166	13889	61482325.3373313	3
20240513 141133	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0242123120277185	0.715681687377054	713	155	11300	62157331.3343328	4
20240513 142026	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	224	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0266529078349541	0.673319385388559	261	136	11640	61405877.0614693	5
20240513 142446	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0330530658794393	0.569731277135225	319	161	11849	61686103.4482759	6
20240513 142949	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	348	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200454035809686	0.476657263907187	394	97	11802	62315019.4902549	7
20240513 144358	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1223	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0311590707783382	0.59096317702825	523	111	11335	61204775.1124438	8
20240513 145328	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	697	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0312612928358806	0.488916842217663	938	85	11257	61363872.5637181	9
20240513 150702	512	895720	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	600	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0289899672419213	0.638301650444452	865	186	11535	61530652.173913	10
