fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 141147	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.349090083744549	0.583440951119577	868	1154	13423	56260655.1724138	1
20240512 141323	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.287124791588159	0.64319200051458	1188	1940	12508	57731112.4437781	2
20240512 141553	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	432	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.137243496567627	0.709779659509465	1481	1456	11350	59823163.4182909	3
20240512 141808	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.154793984886992	0.854242249836071	1360	1282	12242	59991061.4692654	4
20240512 141937	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	70	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.23289305071853	0.797759180518079	276	989	12381	59041467.7661169	5
20240512 142045	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.437698108142057	0.659641702846967	413	1380	10381	58750373.3133433	6
20240512 142434	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	377	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0214529145909953	0.535543018542917	593	374	10215	62154100.4497751	7
20240512 142742	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.377090264906822	0.687950902704333	902	592	11237	56148130.4347826	8
20240512 142930	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	50	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.38036137074818	0.551889122956884	1899	188	13851	57906850.0749625	9
20240512 143055	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.307678951741481	0.751068867259269	1723	1766	11225	56400502.2488756	10
20240512 143328	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	318	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0754353451264444	0.741936342947362	1951	774	10633	59912514.2428786	11
20240512 143419	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	415	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.442781580711847	0.801715006523701	13	306	12469	55841335.832084	12
20240512 143555	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.229384085452624	0.616316903014415	214	1668	11419	57785518.7406297	13
20240512 143808	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0955054152000524	0.87658911620512	669	559	12301	60588334.3328336	14
20240512 143924	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.487533836431577	0.834938937831274	1096	1532	11616	52170710.6446777	15
20240512 144156	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	281	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.196913135579771	0.521109540997023	1663	895	11595	60474430.2848576	16
20240512 145242	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1725	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0231238775989652	0.500402137432464	1067	234	13132	62064989.5052474	17
20240512 145815	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	831	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201602759752859	0.501620790272921	820	621	12515	61138118.4407796	18
20240512 150105	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	121	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0793316914244498	0.503010796078498	1326	100	12186	60234923.5382309	19
20240512 150246	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	394	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0292896639003451	0.725591881405411	183	100	12123	63072259.3703148	20
20240512 150827	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1303	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020146807763623	0.899698089085934	471	100	10813	62617791.6041979	21
20240512 151321	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4617	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0440737656928918	0.88729388013439	10	100	12914	59588374.8125937	22
20240512 151546	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200628115725193	0.619294340986888	354	100	10424	62125061.4692654	23
20240512 151823	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200648431441672	0.631607597680182	360	100	11461	62062457.2713643	24
20240512 152100	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	373	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200653376505023	0.636000975709905	438	100	12978	62055025.4872564	25
20240512 152423	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	661	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200492973802783	0.782010770933427	313	710	13435	62033350.8245877	26
20240512 152709	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201993192357475	0.774795896735286	583	100	12417	61571548.7256372	27
20240512 153052	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1109	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.020143366653335	0.745290319519941	285	157	11908	61734230.8845577	28
20240512 153628	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1342	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0200051796581508	0.500278747356959	230	320	9412	61158782.6086956	29
20240512 153847	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202742568482766	0.765570764067584	416	103	10013	62003998.5007496	30
20240512 154120	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0285880693829622	0.597722457722952	420	262	11396	62546752.6236882	31
20240512 154422	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	682	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0271983308469173	0.898955411408153	295	425	10341	60895440.7796102	32
20240512 154817	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0308793095349817	0.677191488318331	1022	100	13355	62124685.1574213	33
20240512 155149	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	624	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0295836332648254	0.635744024588055	582	101	12154	62164686.6566717	34
20240512 160022	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	824	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.02582403949104	0.68198211782523	2010	100	10016	61847052.4737631	35
